"id","title","slug","status","has_style_tag","has_script_tag","inline_style_attrs","inline_event_handlers","raw_html_blocks","content_length","text_snippet"
"5716","News and Press Releases | Pool Safe Inc. and LounGenie","press","publish","True","False","56","0","True","79684"," @import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700;800&family=Manrope:wght@400;500;600;700;800;900&display=swap'); :root { --lg-bg: #f2f7fb; --lg-surface: #fffff"
"5686","Financials and Filings | Pool Safe Inc. (TSXV: POOL)","financials","publish","True","False","14","0","True","57463"," @import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700;800&family=Manrope:wght@400;500;600;700;800;900&display=swap'); :root { --lg-bg: #f2f7fb; --lg-surface: #fffff"
"5668","Investor Relations | Pool Safe Inc. (TSXV: POOL)","investors","publish","True","False","5","0","True","9741"," @import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700;800&family=Manrope:wght@400;500;600;700;800;900&display=swap'); :root { --lg-bg: #f2f7fb; --lg-surface: #fffff"
"5651","Board of Directors | Pool Safe Inc. and LounGenie Leadership","board","publish","True","False","42","0","True","39390"," @import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700;800&family=Manrope:wght@400;500;600;700;800;900&display=swap'); :root { --lg-bg: #f2f7fb; --lg-surface: #fffff"
"5285","LounGenie Videos | Product Demos, Resort &#038; Waterpark Installations","loungenie-videos","publish","True","False","31","0","True","35078"," @import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700;800&family=Manrope:wght@400;500;600;700;800;900&display=swap'); :root { --lg-bg: #f2f7fb; --lg-surface: #fffff"
"5223","LounGenie Gallery | Cabana, Daybed &#038; Waterpark Installation Photos","cabana-installation-photos","publish","True","False","15","0","True","35478"," @import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700;800&family=Manrope:wght@400;500;600;700;800;900&display=swap'); :root { --lg-bg: #f2f7fb; --lg-surface: #fffff"
"5139","Contact LounGenie | Request a Demo for Your Property","contact-loungenie","publish","True","True","0","0","True","10342"," :root { --lg-ink: #0d2430; --lg-copy: #466170; --lg-accent: #0d7b72; --lg-accent-dark: #0a5f58; --lg-sand: #f5efe4; --lg-mist: #eff6f7; --lg-card: #ffffff; --lg-border: rgba(13, 36, 48, 0.10); --lg-s"
"4862","About LounGenie | Hospitality Technology for Premium Seating","hospitality-innovation","publish","True","False","0","0","True","10670"," :root { --lg-ink: #0d2430; --lg-copy: #466170; --lg-accent: #0d7b72; --lg-accent-dark: #0a5f58; --lg-sand: #f5efe4; --lg-mist: #eff6f7; --lg-card: #ffffff; --lg-border: rgba(13, 36, 48, 0.10); --lg-s"
"4701","LounGenie Smart Cabana System for Hotels, Resorts and Waterparks","home","publish","True","False","3","0","True","18641"," :root { --lg-ink: #0d2430; --lg-copy: #466170; --lg-accent: #0d7b72; --lg-accent-dark: #0a5f58; --lg-sand: #f5efe4; --lg-mist: #eff6f7; --lg-card: #ffffff; --lg-border: rgba(13, 36, 48, 0.10); --lg-s"
"2989","LounGenie Features | QR Ordering, Safe, Charging and Guest Amenities","poolside-amenity-unit","publish","True","False","1","0","True","15840"," :root { --lg-ink: #0d2430; --lg-copy: #466170; --lg-accent: #0d7b72; --lg-accent-dark: #0a5f58; --lg-sand: #f5efe4; --lg-mist: #eff6f7; --lg-card: #ffffff; --lg-border: rgba(13, 36, 48, 0.10); --lg-s"
